case_number,source,source_date_end
23-000035,dv_final_enriched.csv,2025-10-29
23-000077,dv_final_enriched.csv,2025-10-29
23-000169,dv_final_enriched.csv,2025-10-29
23-000518,dv_final_enriched.csv,2025-10-29
23-000562,dv_final_enriched.csv,2025-10-29
23-001176,dv_final_enriched.csv,2025-10-29
23-001799,dv_final_enriched.csv,2025-10-29
23-001873,dv_final_enriched.csv,2025-10-29
23-001972,dv_final_enriched.csv,2025-10-29
23-002103,dv_final_enriched.csv,2025-10-29
23-002213,dv_final_enriched.csv,2025-10-29
23-002527,dv_final_enriched.csv,2025-10-29
23-003062,dv_final_enriched.csv,2025-10-29
23-003590,dv_final_enriched.csv,2025-10-29
23-003666,dv_final_enriched.csv,2025-10-29
23-003830,dv_final_enriched.csv,2025-10-29
23-004312,dv_final_enriched.csv,2025-10-29
23-004711,dv_final_enriched.csv,2025-10-29
23-004734,dv_final_enriched.csv,2025-10-29
23-004741,dv_final_enriched.csv,2025-10-29
23-006788,dv_final_enriched.csv,2025-10-29
23-006813,dv_final_enriched.csv,2025-10-29
23-007331,dv_final_enriched.csv,2025-10-29
23-007454,dv_final_enriched.csv,2025-10-29
23-007541,dv_final_enriched.csv,2025-10-29
23-009586,dv_final_enriched.csv,2025-10-29
23-009763,dv_final_enriched.csv,2025-10-29
23-010146,dv_final_enriched.csv,2025-10-29
23-010304,dv_final_enriched.csv,2025-10-29
23-010570,dv_final_enriched.csv,2025-10-29
23-010586,dv_final_enriched.csv,2025-10-29
23-010965,dv_final_enriched.csv,2025-10-29
23-011243,dv_final_enriched.csv,2025-10-29
23-011335,dv_final_enriched.csv,2025-10-29
23-011956,dv_final_enriched.csv,2025-10-29
23-012143,dv_final_enriched.csv,2025-10-29
23-013322,dv_final_enriched.csv,2025-10-29
23-013624,dv_final_enriched.csv,2025-10-29
23-014001,dv_final_enriched.csv,2025-10-29
23-014235,dv_final_enriched.csv,2025-10-29
23-014410,dv_final_enriched.csv,2025-10-29
23-014459,dv_final_enriched.csv,2025-10-29
23-014545,dv_final_enriched.csv,2025-10-29
23-014576,dv_final_enriched.csv,2025-10-29
23-014603,dv_final_enriched.csv,2025-10-29
23-014763,dv_final_enriched.csv,2025-10-29
23-015099,dv_final_enriched.csv,2025-10-29
23-015181,dv_final_enriched.csv,2025-10-29
23-015398,dv_final_enriched.csv,2025-10-29
23-015836,dv_final_enriched.csv,2025-10-29
23-015973,dv_final_enriched.csv,2025-10-29
23-016162,dv_final_enriched.csv,2025-10-29
23-016288,dv_final_enriched.csv,2025-10-29
23-016357,dv_final_enriched.csv,2025-10-29
23-016460,dv_final_enriched.csv,2025-10-29
23-016651,dv_final_enriched.csv,2025-10-29
23-016899,dv_final_enriched.csv,2025-10-29
23-017383,dv_final_enriched.csv,2025-10-29
23-017511,dv_final_enriched.csv,2025-10-29
23-017612,dv_final_enriched.csv,2025-10-29
23-017645,dv_final_enriched.csv,2025-10-29
23-018305,dv_final_enriched.csv,2025-10-29
23-018717,dv_final_enriched.csv,2025-10-29
23-018761,dv_final_enriched.csv,2025-10-29
23-018777,dv_final_enriched.csv,2025-10-29
23-018782,dv_final_enriched.csv,2025-10-29
23-018889,dv_final_enriched.csv,2025-10-29
23-018906,dv_final_enriched.csv,2025-10-29
23-019262,dv_final_enriched.csv,2025-10-29
23-020897,dv_final_enriched.csv,2025-10-29
23-020903,dv_final_enriched.csv,2025-10-29
23-021135,dv_final_enriched.csv,2025-10-29
23-021149,dv_final_enriched.csv,2025-10-29
23-021241,dv_final_enriched.csv,2025-10-29
23-021689,dv_final_enriched.csv,2025-10-29
23-022713,dv_final_enriched.csv,2025-10-29
23-022734,dv_final_enriched.csv,2025-10-29
23-022864,dv_final_enriched.csv,2025-10-29
23-023080,dv_final_enriched.csv,2025-10-29
23-023238,dv_final_enriched.csv,2025-10-29
23-023781,dv_final_enriched.csv,2025-10-29
23-024368,dv_final_enriched.csv,2025-10-29
23-024386,dv_final_enriched.csv,2025-10-29
23-025024,dv_final_enriched.csv,2025-10-29
23-025036,dv_final_enriched.csv,2025-10-29
23-025390,dv_final_enriched.csv,2025-10-29
23-025584,dv_final_enriched.csv,2025-10-29
23-025802,dv_final_enriched.csv,2025-10-29
23-025804,dv_final_enriched.csv,2025-10-29
23-025839,dv_final_enriched.csv,2025-10-29
23-026607,dv_final_enriched.csv,2025-10-29
23-027053,dv_final_enriched.csv,2025-10-29
23-027394,dv_final_enriched.csv,2025-10-29
23-027719,dv_final_enriched.csv,2025-10-29
23-027900,dv_final_enriched.csv,2025-10-29
23-027970,dv_final_enriched.csv,2025-10-29
23-028138,dv_final_enriched.csv,2025-10-29
23-028251,dv_final_enriched.csv,2025-10-29
